num_sector,tabla,cod_municipio,grupo,producto,unidad,periodo,valor
297,INDUSTRIA MANUFACTURERA,010101,FABRI. DE MAQUINARIA Y EQUIPO N.C.P,Maquinaria para la Elab. de alimentos,VBP (Bs),TRANSFORMACION,3246.284835
298,INDUSTRIA MANUFACTURERA,010101,FABRI. DE MAQUINARIA Y EQUIPO N.C.P,Maquinaria para la Elab. de productos textiles,VBP (Bs),TRANSFORMACION,9738.854506
299,INDUSTRIA MANUFACTURERA,010101,FABRI. DE MAQUINARIA Y EQUIPO N.C.P,maquinaria para la explotaci¢n de minas,VBP (Bs),TRANSFORMACION,3246.284835
300,INDUSTRIA MANUFACTURERA,010101,FABRI. DE MAQUINARIA Y EQUIPO N.C.P,Motores y turbinas,VBP (Bs),TRANSFORMACION,76035.58128
301,INDUSTRIA MANUFACTURERA,010101,FABRI. DE MAQUINARIA Y EQUIPO N.C.P,Otros tipos de maquinaria de uso general,VBP (Bs),TRANSFORMACION,111744.7145
302,INDUSTRIA MANUFACTURERA,010101,FABRI. DE MUEBLES,Muebles y colchones,VBP (Bs),TRANSFORMACION,102494780.8
303,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,"Art°culos de hormig¢n, cemento y yeso",VBP (Bs),TRANSFORMACION,521021962.4
304,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,"Cemento, cal y yeso",VBP (Bs),TRANSFORMACION,2228893974
305,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,"Corte, tallado y acabado de la piedra",VBP (Bs),TRANSFORMACION,14313591.38
306,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,Materiales de construcci¢n de arcilla,VBP (Bs),TRANSFORMACION,1342769822
307,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,Otros productos de cer†mica y porcelana,VBP (Bs),TRANSFORMACION,35495308.59
308,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,Otros productos minerales no met†licos n.c.p.,VBP (Bs),TRANSFORMACION,1651568.237
309,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,Productos refractarios,VBP (Bs),TRANSFORMACION,28627182.77
310,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,Vidrio y productos de vidrio,VBP (Bs),TRANSFORMACION,2202090.982
311,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS TIPOS DE EQUIPO DE TRANSPORTE,Bicicletas y de sillones de ruedas,VBP (Bs),TRANSFORMACION,3246.284835
312,INDUSTRIA MANUFACTURERA,010101,FABRI. DE OTROS TIPOS DE EQUIPO DE TRANSPORTE,Otros tipos de equipo de transporte,VBP (Bs),TRANSFORMACION,3246.284835
313,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PAPEL Y PRODUCTOS DE PAPEL,Otros art°culos de papel y cart¢n,VBP (Bs),TRANSFORMACION,2664947.19
314,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PAPEL Y PRODUCTOS DE PAPEL,"Papel, cart¢n ondulado",VBP (Bs),TRANSFORMACION,190353.3707
315,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRENDAS DE VESTIR,Art°culos de piel,VBP (Bs),TRANSFORMACION,763122.6897
316,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRENDAS DE VESTIR,"Prendas de vestir, excepto prendas de piel",VBP (Bs),TRANSFORMACION,298407874.8
317,INDUSTRIA MANUFACTURERA,010101,"FABRI. DE PROD DE INFORMµTICA,  ELECTR‡NICA Y DE ‡",Aparatos de sonido y video.,VBP (Bs),TRANSFORMACION,6492.56967
318,INDUSTRIA MANUFACTURERA,010101,"FABRI. DE PROD DE INFORMµTICA,  ELECTR‡NICA Y DE ‡",Equipo de comunicaciones,VBP (Bs),TRANSFORMACION,6492.56967
319,INDUSTRIA MANUFACTURERA,010101,"FABRI. DE PROD DE INFORMµTICA,  ELECTR‡NICA Y DE ‡","Equipo mÇdico, quir£rgico",VBP (Bs),TRANSFORMACION,437266.6064
320,INDUSTRIA MANUFACTURERA,010101,"FABRI. DE PROD DE INFORMµTICA,  ELECTR‡NICA Y DE ‡",Instrumentos de ¢ptica y equipo fotogr†fico,VBP (Bs),TRANSFORMACION,8095682.791
321,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PROD.  ELABORADOS DE METAL,Art°culos de cuchiller°a,VBP (Bs),TRANSFORMACION,19477.70901
322,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PROD.  ELABORADOS DE METAL,"Forja, prensado, estampado y laminado de metales",VBP (Bs),TRANSFORMACION,260368.1815
323,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PROD.  ELABORADOS DE METAL,Otros productos elaborados de metal n.c.p.,VBP (Bs),TRANSFORMACION,382261.7908
324,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PROD.  ELABORADOS DE METAL,Tratamiento a metales y actividades afines,VBP (Bs),TRANSFORMACION,1446418.097
325,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS DE CAUCHO Y PLµSTICO,cubiertas y c†maras de caucho,VBP (Bs),TRANSFORMACION,318408.4274
326,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS DE CAUCHO Y PLµSTICO,Productos de pl†stico,VBP (Bs),TRANSFORMACION,2688596.192
327,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS TEXTILES,Acabado estampado serigr†fico textiles,VBP (Bs),TRANSFORMACION,10071221.42
328,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS TEXTILES,Art°culos de materiales textiles,VBP (Bs),TRANSFORMACION,30524.90759
